country,core_group,core_group_member_title,mc_member,wg_member,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,wg2_improving_competencies_in_evidence_synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,wg4_capacity_building_with_decision_and_policy_makers,wg5_community_building_dissemination_and_communication,assigned_working_groups,country_clean,itc_countries,core_group_status,mc_member_status,wg_member_status,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food_status,wg2_improving_competencies_in_evidence_synthesis_status,wg3_developing_identifying_new_methods_of_evidence_synthesis_status,wg4_capacity_building_with_decision_and_policy_makers_status,wg5_community_building_dissemination_and_communication_status,any_wg
Türkiye (TR),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,True
Romania (RO),False,,False,True,False,True,True,False,False,WG2; WG3,Romania,Yes,No,No,Yes,No,Yes,Yes,No,No,True
Lithuania (LT),False,,True,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,True
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Germany (DE),True,WG4 Leader,True,True,False,True,False,True,True,WG2; WG4; WG5,Germany,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,True
Iceland (IS),False,,True,True,False,False,False,True,False,WG4,Iceland,No,No,Yes,Yes,No,No,No,Yes,No,True
United Kingdom (UK),True,Grant Awarding Coordinator,False,True,True,False,False,True,False,WG1; WG4,United Kingdom,No,Yes,No,Yes,Yes,No,No,Yes,No,True
Tunisia (TN),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Tunisia,No,No,No,Yes,Yes,Yes,Yes,No,No,True
Croatia (HR),False,,True,True,True,False,True,False,False,WG1; WG3,Croatia,Yes,No,Yes,Yes,Yes,No,Yes,No,No,True
United Kingdom (UK),False,,False,True,True,True,True,True,True,WG1; WG2; WG3; WG4; WG5,United Kingdom,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,True
Cyprus (CY),False,,True,True,False,True,False,False,False,WG2,Cyprus,Yes,No,Yes,Yes,No,Yes,No,No,No,True
Jordan (JO),False,,False,True,True,False,False,False,False,WG1,Jordan,No,No,No,Yes,Yes,No,No,No,No,True
Portugal (PT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Portugal,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,No,True
Switzerland (CH),,Action Vice Chair (replacing B Livoreil),True,True,True,False,False,True,False,WG1; WG4,Switzerland,No,Pending,Yes,Yes,Yes,No,No,Yes,No,True
Portugal (PT),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Portugal,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,True
Portugal (PT),False,,False,True,False,False,True,True,False,WG3; WG4,Portugal,Yes,No,No,Yes,No,No,Yes,Yes,No,True
Hungary (HU),False,,True,True,True,False,True,False,False,WG1; WG3,Hungary,Yes,No,Yes,Yes,Yes,No,Yes,No,No,True
Tunisia (TN),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Tunisia,No,No,No,Yes,Yes,Yes,Yes,No,No,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Italy (IT),True,WG3 Leader,True,True,False,False,True,True,False,WG3; WG4,Italy,No,Yes,Yes,Yes,No,No,Yes,Yes,No,True
Romania (RO),False,,False,True,True,False,False,False,False,WG1,Romania,Yes,No,No,Yes,Yes,No,No,No,No,True
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,No,Yes,True
Croatia (HR),False,,True,True,True,False,False,True,False,WG1; WG4,Croatia,Yes,No,Yes,Yes,Yes,No,No,Yes,No,True
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Poland (PL),False,,False,True,True,False,False,False,False,WG1,Poland,Yes,No,No,Yes,Yes,No,No,No,No,True
Türkiye (TR),False,,True,True,False,False,False,True,False,WG4,Türkiye,Yes,No,Yes,Yes,No,No,No,Yes,No,True
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Poland (PL),False,,True,True,True,False,False,True,False,WG1; WG4,Poland,Yes,No,Yes,Yes,Yes,No,No,Yes,No,True
Romania (RO),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Romania,Yes,No,No,Yes,Yes,Yes,No,Yes,No,True
Montenegro (ME),False,,True,True,True,False,False,True,False,WG1; WG4,Montenegro,Yes,No,Yes,Yes,Yes,No,No,Yes,No,True
Greece (EL),False,,True,True,True,False,True,False,False,WG1; WG3,Greece,Yes,No,Yes,Yes,Yes,No,Yes,No,No,True
North Macedonia (MK),False,,True,True,True,True,True,False,False,WG1; WG2; WG3,North Macedonia,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,True
Moldova (MD),False,,False,True,False,True,False,True,True,WG2; WG4; WG5,Moldova,Yes,No,No,Yes,No,Yes,No,Yes,Yes,True
Serbia (RS),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes,No,No,Yes,No,Yes,No,No,Yes,True
Türkiye (TR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
Slovakia (SK),False,,True,True,True,False,False,False,False,WG1,Slovakia,Yes,No,Yes,Yes,Yes,No,No,No,No,True
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes,No,No,Yes,No,Yes,No,No,Yes,True
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Norway (NO),False,,True,True,True,False,True,False,False,WG1; WG3,Norway,No,No,Yes,Yes,Yes,No,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
Serbia (RS),False,,False,True,False,False,True,True,False,WG3; WG4,Serbia,Yes,No,No,Yes,No,No,Yes,Yes,No,True
Montenegro (ME),False,,True,True,True,False,False,True,False,WG1; WG4,Montenegro,Yes,No,Yes,Yes,Yes,No,No,Yes,No,True
Spain (ES),True,WG1 Co-leader,True,True,True,True,False,True,False,WG1; WG2; WG4,Spain,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
Greece (EL),False,,True,True,False,True,False,True,False,WG2; WG4,Greece,Yes,No,Yes,Yes,No,Yes,No,Yes,No,True
Slovakia (SK),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Slovakia,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
Finland (FI),False,,False,True,False,False,True,True,False,WG3; WG4,Finland,No,No,No,Yes,No,No,Yes,Yes,No,True
Lithuania (LT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Lithuania,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Czech Republic (CZ),False,,True,True,False,True,True,False,False,WG2; WG3,Czechia,Yes,No,Yes,Yes,No,Yes,Yes,No,No,True
Bosnia and Herzegovina (BA),False,,True,True,True,True,True,False,False,WG1; WG2; WG3,Bosnia and Herzegovina,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Bosnia and Herzegovina (BA),False,,True,True,False,False,False,False,True,WG5,Bosnia and Herzegovina,Yes,No,Yes,Yes,No,No,No,No,Yes,True
Kosovo (KV),False,,False,True,True,False,False,False,True,WG1; WG5,Kosovo,No,No,No,Yes,Yes,No,No,No,Yes,True
Algeria (DZ),False,,False,True,False,False,False,True,False,WG4,Algeria,No,No,No,Yes,No,No,No,Yes,No,True
Albania (AL),False,,True,True,True,False,True,False,False,WG1; WG3,Albania,Yes,No,Yes,Yes,Yes,No,Yes,No,No,True
Italy (IT),False,,False,True,True,False,False,False,True,WG1; WG5,Italy,No,No,No,Yes,Yes,No,No,No,Yes,True
Türkiye (TR),False,,False,True,False,False,True,True,False,WG3; WG4,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,No,True
Estonia (EE),False,,True,True,True,False,False,False,True,WG1; WG5,Estonia,Yes,No,Yes,Yes,Yes,No,No,No,Yes,True
North Macedonia (MK),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,North Macedonia,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Croatia (HR),False,,False,True,False,False,True,False,True,WG3; WG5,Croatia,Yes,No,No,Yes,No,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,No,Yes,Yes,True
Portugal (PT),False,,False,True,False,False,True,True,False,WG3; WG4,Portugal,Yes,No,No,Yes,No,No,Yes,Yes,No,True
Bulgaria (BG),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Bulgaria,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Lithuania (LT),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Lithuania,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,True
Montenegro (ME),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Montenegro,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
Serbia (RS),False,,False,True,False,False,False,True,False,WG4,Serbia,Yes,No,No,Yes,No,No,No,Yes,No,True
Serbia (RS),,Science Communication Coordinator,False,True,False,True,True,False,False,WG2; WG3,Serbia,Yes,Pending,No,Yes,No,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Portugal (PT),True,WG2 Leader,False,True,False,True,True,True,False,WG2; WG3; WG4,Portugal,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Türkiye (TR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
Türkiye (TR),False,,False,True,True,False,False,False,True,WG1; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,No,Yes,True
Türkiye (TR),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Türkiye,Yes,No,No,Yes,Yes,Yes,No,Yes,No,True
Türkiye (TR),False,,False,True,True,False,False,False,True,WG1; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,No,Yes,True
Portugal (PT),False,,False,True,False,False,False,True,False,WG4,Portugal,Yes,No,No,Yes,No,No,No,Yes,No,True
European RTD Organisations (XR),False,,False,True,True,False,False,True,False,WG1; WG4,European RTD Organisations,No,No,No,Yes,Yes,No,No,Yes,No,True
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
