country,core_group,core_group_member_title,mc_member,wg_member,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,wg2_improving_competencies_in_evidence_synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,wg4_capacity_building_with_decision_and_policy_makers,wg5_community_building_dissemination_and_communication,assigned_working_groups,country_clean,itc_countries
Türkiye (TR),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes
Romania (RO),False,,False,True,False,True,True,False,False,WG2; WG3,Romania,Yes
Lithuania (LT),False,,True,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes
Germany (DE),True,WG4 Leader,True,True,False,True,False,True,True,WG2; WG4; WG5,Germany,No
Iceland (IS),False,,True,True,False,False,False,True,False,WG4,Iceland,No
United Kingdom (UK),True,Grant Awarding Coordinator,False,True,True,False,False,True,False,WG1; WG4,United Kingdom,No
Tunisia (TN),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Tunisia,No
Croatia (HR),False,,True,True,True,False,True,False,False,WG1; WG3,Croatia,Yes
United Kingdom (UK),False,,False,True,True,True,True,True,True,WG1; WG2; WG3; WG4; WG5,United Kingdom,No
Cyprus (CY),False,,True,True,False,True,False,False,False,WG2,Cyprus,Yes
Jordan (JO),False,,False,True,True,False,False,False,False,WG1,Jordan,No
Portugal (PT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Portugal,Yes
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes
Switzerland (CH),False,Action Vice Chair (replacing B Livoreil),True,True,True,False,False,True,False,WG1; WG4,Switzerland,No
Portugal (PT),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Portugal,Yes
Portugal (PT),False,,False,True,False,False,True,True,False,WG3; WG4,Portugal,Yes
Hungary (HU),False,,True,True,True,False,True,False,False,WG1; WG3,Hungary,Yes
Tunisia (TN),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Tunisia,No
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Italy (IT),True,WG3 Leader,True,True,False,False,True,True,False,WG3; WG4,Italy,No
Romania (RO),False,,False,True,True,False,False,False,False,WG1,Romania,Yes
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes
Croatia (HR),False,,True,True,True,False,False,True,False,WG1; WG4,Croatia,Yes
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes
Poland (PL),False,,False,True,True,False,False,False,False,WG1,Poland,Yes
Türkiye (TR),False,,True,True,False,False,False,True,False,WG4,Türkiye,Yes
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Poland (PL),False,,True,True,True,False,False,True,False,WG1; WG4,Poland,Yes
Romania (RO),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Romania,Yes
Montenegro (ME),False,,True,True,True,False,False,True,False,WG1; WG4,Montenegro,Yes
Greece (EL),False,,True,True,True,False,True,False,False,WG1; WG3,Greece,Yes
North Macedonia (MK),False,,True,True,True,True,True,False,False,WG1; WG2; WG3,North Macedonia,Yes
Moldova (MD),False,,False,True,False,True,False,True,True,WG2; WG4; WG5,Moldova,Yes
Serbia (RS),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes
Türkiye (TR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes
Slovakia (SK),False,,True,True,True,False,False,False,False,WG1,Slovakia,Yes
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Norway (NO),False,,True,True,True,False,True,False,False,WG1; WG3,Norway,No
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
Serbia (RS),False,,False,True,False,False,True,True,False,WG3; WG4,Serbia,Yes
Montenegro (ME),False,,True,True,True,False,False,True,False,WG1; WG4,Montenegro,Yes
Spain (ES),True,WG1 Co-leader,True,True,True,True,False,True,False,WG1; WG2; WG4,Spain,No
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
Greece (EL),False,,True,True,False,True,False,True,False,WG2; WG4,Greece,Yes
Slovakia (SK),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Slovakia,Yes
Finland (FI),False,,False,True,False,False,True,True,False,WG3; WG4,Finland,No
Lithuania (LT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Lithuania,Yes
Czech Republic (CZ),False,,True,True,False,True,True,False,False,WG2; WG3,Czechia,Yes
Bosnia and Herzegovina (BA),False,,True,True,True,True,True,False,False,WG1; WG2; WG3,Bosnia and Herzegovina,Yes
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes
Bosnia and Herzegovina (BA),False,,True,True,False,False,False,False,True,WG5,Bosnia and Herzegovina,Yes
Kosovo (KV),False,,False,True,True,False,False,False,True,WG1; WG5,Kosovo,No
Algeria (DZ),False,,False,True,False,False,False,True,False,WG4,Algeria,No
Albania (AL),False,,True,True,True,False,True,False,False,WG1; WG3,Albania,Yes
Italy (IT),False,,False,True,True,False,False,False,True,WG1; WG5,Italy,No
Türkiye (TR),False,,False,True,False,False,True,True,False,WG3; WG4,Türkiye,Yes
Estonia (EE),False,,True,True,True,False,False,False,True,WG1; WG5,Estonia,Yes
North Macedonia (MK),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,North Macedonia,Yes
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes
Croatia (HR),False,,False,True,False,False,True,False,True,WG3; WG5,Croatia,Yes
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes
Portugal (PT),False,,False,True,False,False,True,True,False,WG3; WG4,Portugal,Yes
Bulgaria (BG),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Bulgaria,Yes
Lithuania (LT),False,,True,True,True,False,True,True,False,WG1; WG3; WG4,Lithuania,Yes
Montenegro (ME),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Montenegro,Yes
Serbia (RS),False,,False,True,False,False,False,True,False,WG4,Serbia,Yes
Serbia (RS),False,Science Communication Coordinator,False,True,False,True,True,False,False,WG2; WG3,Serbia,Yes
Türkiye (TR),False,,False,True,False,False,True,False,True,WG3; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Portugal (PT),True,WG2 Leader,False,True,False,True,True,True,False,WG2; WG3; WG4,Portugal,Yes
