gender,tags,institutionCountry,isYoungResearcher,isITC
Female,mc member;wg1 member;wg3 member;wg4 member,Türkiye,no,yes
Female,wg2 member;wg3 member,Romania,no,yes
Male,mc member;wg1 member;wg4 member;wg5 member,Lithuania,no,yes
Male,wg1 member;wg4 member;wg5 member,Lithuania,no,yes
Female,mc member;wg leader;wg2 member;wg4 member;wg5 member,Germany,no,no
Female,mc member;wg4 member,Iceland,no,no
Female,grant awarding coordinator;wg1 member;wg4 member,United Kingdom,no,no
Male,wg1 member;wg2 member;wg3 member,Tunisia,yes,no
Male,mc member;wg1 member;wg3 member,Croatia,no,yes
Female,mc chair;wg1 member;wg2 member;wg3 member;wg4 member;wg5 member,United Kingdom,no,no
Male,mc member;wg2 member,Cyprus,no,yes
Male,wg2 member,Portugal,no,yes
Male,wg1 member,Jordan,no,no
Female,wg1 member;wg2 member;wg3 member,Portugal,no,yes
Male,wg2 member;wg3 member,Türkiye,no,yes
Female,mc member;wg1 member;wg4 member;mc vicechair,Switzerland,no,no
Male,mc member;wg1 member;wg3 member;wg4 member,Portugal,no,yes
Male,wg3 member;wg4 member,Portugal,no,yes
Male,mc member;wg1 member;wg3 member,Hungary,no,yes
Female,mc member,Portugal,no,yes
Female,wg1 member;wg2 member;wg3 member,Tunisia,yes,no
Female,wg1 member,Serbia,yes,yes
Female,mc member;wg leader;wg3 member;wg4 member,Italy,no,no
Female,mc member,North Macedonia,no,yes
Female,wg1 member,Romania,no,yes
Female,wg3 member;wg5 member,Türkiye,no,yes
Female,mc member;wg1 member;wg4 member,Croatia,no,yes
Female,wg3 member;wg5 member,Türkiye,no,yes
Male,wg1 member;wg4 member;wg5 member,Türkiye,no,yes
Female,wg1 member,Poland,no,yes
Female,mc member;wg4 member,Türkiye,no,yes
Female,wg2 member;wg3 member,Türkiye,no,yes
Male,wg3 member;wg4 member;wg5 member,Türkiye,no,yes
Male,wg1 member;wg4 member;wg5 member,Lithuania,no,yes
Male,wg1 member;wg2 member;wg3 member,Türkiye,no,yes
Male,mc member;wg1 member;wg4 member,Poland,no,yes
Female,wg1 member;wg2 member;wg4 member,Romania,no,yes
Female,mc member;wg1 member;wg4 member,Montenegro,no,yes
Female,mc member;wg1 member;wg3 member,Greece,no,yes
Female,mc member;wg1 member;wg2 member;wg3 member,North Macedonia,no,yes
Male,wg2 member;wg4 member;wg5 member,Moldova,no,yes
Female,wg1 member;wg2 member;wg5 member,Serbia,no,yes
Male,wg2 member;wg5 member,Bosnia & Herzegovina,no,yes
Male,wg1 member;wg3 member;wg4 member,Türkiye,yes,yes
