original_column,cleaned_column,guessed_country_col,looks_like_flag
Country,country,Country,False
Core Group,core_group,,False
Core Group Member Title,core_group_member_title,,False
MC Member,mc_member,,False
WG Member,wg_member,,True
WG1. Setting the scene: Assessing the current state of evidence synthesis in agri-food.,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,,True
WG2. Improving competencies in evidence synthesis,wg2_improving_competencies_in_evidence_synthesis,,True
WG3. Developing/identifying new methods of evidence synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,,True
WG4. Capacity building with decision and policy makers,wg4_capacity_building_with_decision_and_policy_makers,,True
"WG5. Community building, dissemination and communication",wg5_community_building_dissemination_and_communication,,True
Assigned Working Groups,assigned_working_groups,,False
