country_clean,Country,Total,MC,Core,Any WG,ITC participants,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,wg2_improving_competencies_in_evidence_synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,wg4_capacity_building_with_decision_and_policy_makers,wg5_community_building_dissemination_and_communication,ITC group,AnyWG_rate,Country_wrapped
Albania,Albania,4,2,1,4,4,3,0,3,2,1,ITC,1.0,Albania
Algeria,Algeria,2,0,0,2,0,1,0,0,1,0,Non-ITC,1.0,Algeria
Austria,Austria,2,1,0,2,0,2,0,0,0,0,Non-ITC,1.0,Austria
Belgium,Belgium,1,0,0,1,0,0,0,0,1,0,Non-ITC,1.0,Belgium
Bosnia and Herzegovina,Bosnia and Herzegovina,5,2,0,5,5,1,4,1,0,4,ITC,1.0,Bosnia<br>and<br>Herzegovina
Bulgaria,Bulgaria,1,0,0,1,1,1,1,1,0,0,ITC,1.0,Bulgaria
Croatia,Croatia,3,2,0,3,3,2,0,2,1,1,ITC,1.0,Croatia
Cyprus,Cyprus,1,1,0,1,1,0,1,0,0,0,ITC,1.0,Cyprus
Czechia,Czechia,2,1,0,2,2,1,1,2,1,0,ITC,1.0,Czechia
Egypt,Egypt,1,0,0,1,0,1,0,1,0,1,Non-ITC,1.0,Egypt
Estonia,Estonia,1,1,0,1,1,1,0,0,0,1,ITC,1.0,Estonia
European Commission and EU Agencies,European Commission and EU Agencies,1,0,0,1,0,1,0,1,0,0,Non-ITC,1.0,European<br>Commission<br>and<br>EU<br>Agencies
European RTD Organisations,European RTD Organisations,2,0,0,2,0,2,0,0,2,0,Non-ITC,1.0,European<br>RTD<br>Organisations
Finland,Finland,1,0,0,1,0,0,0,1,1,0,Non-ITC,1.0,Finland
France,France,6,1,1,6,0,5,3,4,2,3,Non-ITC,1.0,France
Georgia,Georgia,2,0,0,1,2,1,0,0,0,0,ITC,0.5,Georgia
Germany,Germany,7,2,2,7,0,2,4,3,4,1,Non-ITC,1.0,Germany
Greece,Greece,3,2,0,3,3,1,1,1,2,1,ITC,1.0,Greece
Hungary,Hungary,1,1,0,1,1,1,0,1,0,0,ITC,1.0,Hungary
Iceland,Iceland,1,1,0,1,0,0,0,0,1,0,Non-ITC,1.0,Iceland
Ireland,Ireland,2,1,0,2,0,0,1,1,1,1,Non-ITC,1.0,Ireland
Israel,Israel,1,1,0,0,0,0,0,0,0,0,Non-ITC,0.0,Israel
Italy,Italy,8,2,1,8,0,7,3,4,3,1,Non-ITC,1.0,Italy
Jordan,Jordan,1,0,0,1,0,1,0,0,0,0,Non-ITC,1.0,Jordan
Kosovo,Kosovo,3,0,0,3,0,3,1,1,1,2,Non-ITC,1.0,Kosovo
Lithuania,Lithuania,9,2,0,9,9,9,2,4,6,4,ITC,1.0,Lithuania
Moldova,Moldova,3,1,0,2,3,1,1,0,1,1,ITC,0.6666666666666666,Moldova
Montenegro,Montenegro,3,2,0,3,3,3,0,1,3,0,ITC,1.0,Montenegro
Morocco,Morocco,1,0,0,1,0,0,0,0,0,1,Non-ITC,1.0,Morocco
Nigeria,Nigeria,1,0,0,1,0,1,0,1,0,1,Non-ITC,1.0,Nigeria
North Macedonia,North Macedonia,5,2,0,4,5,3,4,3,0,0,ITC,0.8,North<br>Macedonia
Norway,Norway,1,1,0,1,0,1,0,1,0,0,Non-ITC,1.0,Norway
Poland,Poland,4,2,1,4,4,3,0,0,1,2,ITC,1.0,Poland
Portugal,Portugal,11,2,1,10,11,3,5,5,7,0,ITC,0.9090909090909091,Portugal
Romania,Romania,4,0,0,4,4,3,3,1,1,1,ITC,1.0,Romania
Serbia,Serbia,14,2,1,14,14,11,4,2,3,5,ITC,1.0,Serbia
Slovakia,Slovakia,2,1,0,2,2,2,0,1,1,0,ITC,1.0,Slovakia
South Africa,South Africa,1,0,0,1,0,0,0,0,0,1,Non-ITC,1.0,South<br>Africa
Spain,Spain,2,1,1,2,0,1,2,1,1,0,Non-ITC,1.0,Spain
Sweden,Sweden,1,1,0,1,0,0,0,1,1,0,Non-ITC,1.0,Sweden
Switzerland,Switzerland,1,1,0,1,0,1,0,0,1,0,Non-ITC,1.0,Switzerland
Tunisia,Tunisia,2,0,0,2,0,2,2,2,0,0,Non-ITC,1.0,Tunisia
Türkiye,Türkiye,61,2,0,61,61,29,21,34,25,31,ITC,1.0,Türkiye
United Kingdom,United Kingdom,12,2,2,12,0,9,4,3,8,6,Non-ITC,1.0,United<br>Kingdom
United States,United States,1,0,0,1,0,0,0,1,1,1,Non-ITC,1.0,United<br>States
