section,original_name,cleaned_name,dtype_raw,dtype_final,changed,flag_col,status_col,dtype_flag,true_count,false_count,na_count,status_preview,column,dtype,non_null,missing,unique,example,metric,value,count,country
dtype_changes,gender,gender,object,object,False,,,,,,,,,,,,,,,,,
dtype_changes,tags,tags,object,object,False,,,,,,,,,,,,,,,,,
dtype_changes,institutionCountry,institutioncountry,object,object,False,,,,,,,,,,,,,,,,,
dtype_changes,isYoungResearcher,isyoungresearcher,object,object,False,,,,,,,,,,,,,,,,,
dtype_changes,isITC,isitc,object,object,False,,,,,,,,,,,,,,,,,
yn_after_pending_aware,,,,,,mc_member,mc_member_status,boolean,44.0,0.0,156.0,Nan: 156; Yes: 44,,,,,,,,,,
yn_after_pending_aware,,,,,,core_group,core_group_status,boolean,11.0,0.0,189.0,Nan: 189; Yes: 11,,,,,,,,,,
yn_after_pending_aware,,,,,,wg_member,wg_member_status,boolean,196.0,0.0,4.0,Yes: 196; Nan: 4,,,,,,,,,,
yn_after_pending_aware,,,,,,wg1,wg1_status,boolean,118.0,0.0,82.0,Yes: 118; Nan: 82,,,,,,,,,,
yn_after_pending_aware,,,,,,wg2,wg2_status,boolean,67.0,0.0,133.0,Nan: 133; Yes: 67,,,,,,,,,,
yn_after_pending_aware,,,,,,wg3,wg3_status,boolean,88.0,0.0,112.0,Nan: 112; Yes: 88,,,,,,,,,,
yn_after_pending_aware,,,,,,wg4,wg4_status,boolean,82.0,0.0,118.0,Nan: 118; Yes: 82,,,,,,,,,,
yn_after_pending_aware,,,,,,wg5,wg5_status,boolean,71.0,0.0,129.0,Nan: 129; Yes: 71,,,,,,,,,,
columns_summary,,,,,,,,,,,,,any_wg,boolean,196.0,4.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,assigned_working_groups,object,200.0,0.0,27.0,WG1; WG3; WG4,,,,
columns_summary,,,,,,,,,,,,,core_group,boolean,11.0,189.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,core_group_member_title,object,11.0,189.0,7.0,wg leader,,,,
columns_summary,,,,,,,,,,,,,core_group_status,object,200.0,0.0,2.0,Nan,,,,
columns_summary,,,,,,,,,,,,,country,object,200.0,0.0,43.0,Türkiye,,,,
columns_summary,,,,,,,,,,,,,country_clean,object,200.0,0.0,43.0,Türkiye,,,,
columns_summary,,,,,,,,,,,,,gender,object,200.0,0.0,2.0,Female,,,,
columns_summary,,,,,,,,,,,,,institutioncountry,object,200.0,0.0,43.0,Türkiye,,,,
columns_summary,,,,,,,,,,,,,isitc,object,200.0,0.0,2.0,yes,,,,
columns_summary,,,,,,,,,,,,,isyoungresearcher,object,200.0,0.0,2.0,no,,,,
columns_summary,,,,,,,,,,,,,itc_countries,object,200.0,0.0,2.0,Yes,,,,
columns_summary,,,,,,,,,,,,,mc_member,boolean,44.0,156.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,mc_member_status,object,200.0,0.0,2.0,Yes,,,,
columns_summary,,,,,,,,,,,,,tags,object,200.0,0.0,56.0,mc member;wg1 member;wg3 member;wg4 member,,,,
columns_summary,,,,,,,,,,,,,wg1,boolean,118.0,82.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,wg1_status,object,200.0,0.0,2.0,Yes,,,,
columns_summary,,,,,,,,,,,,,wg2,boolean,67.0,133.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,wg2_status,object,200.0,0.0,2.0,Nan,,,,
columns_summary,,,,,,,,,,,,,wg3,boolean,88.0,112.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,wg3_status,object,200.0,0.0,2.0,Yes,,,,
columns_summary,,,,,,,,,,,,,wg4,boolean,82.0,118.0,1.0,True,,,,
columns_summary,,,,,,,,,,,,,wg4_status,object,200.0,0.0,2.0,Yes,,,,
