country_clean,gj_name,__reason,__suggested,__score
European RTD Organisations,,Organisation / multi-country entity (not a country),,
European RTD Organisations,,Organisation / multi-country entity (not a country),,
European Commission and EU Agencies,,Organisation / multi-country entity (not a country),,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
Serbia,Serbia,Matched to a name not present in the GeoJSON file,,
