WG,ITC,Count,WG_label
wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,ITC,79,WG 1
wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,Non-ITC,40,WG 1
wg3_developing_identifying_new_methods_of_evidence_synthesis,ITC,62,WG 3
wg3_developing_identifying_new_methods_of_evidence_synthesis,Non-ITC,26,WG 3
wg4_capacity_building_with_decision_and_policy_makers,ITC,54,WG 4
wg4_capacity_building_with_decision_and_policy_makers,Non-ITC,29,WG 4
wg5_community_building_dissemination_and_communication,ITC,52,WG 5
wg5_community_building_dissemination_and_communication,Non-ITC,19,WG 5
wg2_improving_competencies_in_evidence_synthesis,ITC,48,WG 2
wg2_improving_competencies_in_evidence_synthesis,Non-ITC,20,WG 2
